,0,T_ref,T_res,abs
165,SolarArray,31.291188205339953,28.395411507889037,2.8957766974509163
166,SolarArray,31.278416183902486,28.343077332680423,2.9353388512220633
167,SolarArray,31.3029943432183,28.396424024936323,2.906570318281979
168,SolarArray,31.304949159423018,28.35398321490044,2.9509659445225793
169,SolarArray,31.32383032384467,28.410216175248536,2.9136141485961353
170,SolarArray,31.3083065817525,28.36218236352954,2.946124218222959
171,SolarArray,31.3417634570402,28.416160433972436,2.925603023067765
172,SolarArray,31.307844609816236,28.36339315414682,2.944451455669416
173,SolarArray,31.33229142967048,28.423460742882128,2.9088306867883524
174,SolarArray,31.2876033137224,28.34826885655599,2.93933445716641
175,SolarArray,31.30148957787929,28.402880228208176,2.8986093496711156
176,SolarArray,31.27878337392991,28.324643056609375,2.9541403173205367
177,SolarArray,31.28219014255421,28.380190020133227,2.902000122420983
178,SolarArray,31.265774900460485,28.297165900425398,2.9686090000350873
179,SolarArray,31.295764308455553,28.37213484454793,2.9236294639076235
180,SolarArray,31.288106362576514,28.517550343033463,2.7705560195430508
181,SolarArray,31.4849458752729,28.62747135480521,2.85747452046769
182,SolarArray,31.65816517671084,28.922769779158784,2.735395397552054
183,SolarArray,31.634291849038682,28.8269976695359,2.807294179502783
184,SolarArray,31.863598963450897,29.15310283182066,2.7104961316302365
185,SolarArray,31.755290372302852,29.00484229380595,2.750448078496902
186,SolarArray,31.96680083614569,29.251143343737056,2.715657492408635
187,SolarArray,31.842986386293717,29.08720086629785,2.755785519995868
188,SolarArray,31.997573445439173,29.269869366584146,2.7277040788550266
189,SolarArray,31.84130137102034,29.09738230312678,2.743919067893561
190,SolarArray,31.93208568135026,29.215972153166604,2.716113528183655
191,SolarArray,31.79453477802912,29.034965174765716,2.7595696032634045
192,SolarArray,31.812623756862077,29.10119108563282,2.7114326712292574
193,SolarArray,31.71236220837727,28.95208361710121,2.7602785912760623
194,SolarArray,31.601045701166072,28.886912273147573,2.714133428018499
195,SolarArray,31.574183939409643,28.78017389509364,2.7940100443160034
196,SolarArray,31.17715589087112,28.44977913993921,2.72737675093191
197,SolarArray,31.40923629332195,28.570293857430386,2.838942435891564
198,TRx,-59.65998735370366,-60.35851938281289,0.6985320291092236
199,TRx,-59.66778364793524,-60.48409545365837,0.8163118057231316
200,TRx,-60.512529168914035,-61.219103669841616,0.7065745009275801
201,TRx,-60.230547885137355,-60.94232719706994,0.7117793119325881
202,TRx,-58.27527518936392,-59.05955701333616,0.7842818239722433
203,TRx,-59.246074702803014,-60.01331437503944,0.7672396722364283
204,TRx,-59.44573490407211,-60.16631477142434,0.7205798673522281
205,TRx,-59.60615306866788,-60.313822725585396,0.7076696569175169
206,TRx,-60.55740426163172,-61.26718639683156,0.7097821351998448
207,TRx,-62.81484060922369,-63.52710946303253,0.712268853808844
208,TRx,-63.374090596955305,-64.07120752944067,0.6971169324853648
209,TRx,-60.58625466563592,-61.30126941576893,0.7150147501330082
210,TRx,-60.22148325512865,-60.94343874028473,0.7219554851560801
211,TRx,-59.93823324602218,-60.65962690079505,0.7213936547728679
212,TRx,-59.601943728533,-60.34314121252132,0.7411974839883158
213,TRx,-59.70025813347513,-60.42701205102631,0.7267539175511786
214,AOCS,-59.66969282679972,-60.36671175784946,0.6970189310497403
215,AOCS,-59.81187994585403,-60.507494731890404,0.6956147860363728
216,AOCS,-60.03099481736325,-60.71922417842802,0.6882293610647707
217,AOCS,-60.019658789073645,-60.711316668427685,0.6916578793540396
218,AOCS,-59.134246336807756,-59.840944702854756,0.7066983660470001
219,AOCS,-59.61749693979746,-60.31648635540856,0.698989415611095
220,AOCS,-59.807537295389956,-60.50342302145222,0.6958857260622651
221,AOCS,-60.02803413210927,-60.72038276218322,0.6923486300739512
222,AOCS,-60.09101289895861,-60.782294896070226,0.6912819971116164
223,AOCS,-60.310214982922275,-60.998423678709,0.6882086957867273
224,AOCS,-60.22589662878687,-60.91611184883237,0.6902152200455021
225,AOCS,-59.673157360168155,-60.37128898941717,0.6981316292490121
226,AOCS,-60.03778429048675,-60.73042283838163,0.6926385478948802
227,AOCS,-59.979000653235396,-60.672268856330646,0.6932682030952506
228,AOCS,-59.659962179642626,-60.35845380112977,0.6984916214871433
229,AOCS,-59.76745147293946,-60.464093427469294,0.6966419545298308
230,SP_Zminus,-60.192289679466064,-61.05724478688984,0.8649551074237749
231,SP_Zminus,-56.505020669257654,-57.33767068646472,0.8326500172070652
232,SP_Zminus,-60.51092086847456,-61.381034987365126,0.8701141188905694
233,SP_Zminus,-58.74839479865354,-59.583886726305906,0.8354919276523631
234,Propulsion,-58.698036125002574,-59.41023561702437,0.7121994920217958
235,Propulsion,-60.168198511637904,-60.858006367405466,0.6898078557675618
236,Propulsion,-59.923289347985566,-60.615494654185085,0.6922053061995186
237,Propulsion,-60.25390912233871,-60.94075892357779,0.6868498012390774
238,SP_Yplus,-60.20369388664477,-61.08627913871808,0.8825852520733122
239,SP_Yplus,-59.13264671209665,-59.987678323882875,0.8550316117862238
240,SP_Yplus,-59.3120370850321,-60.23880866149085,0.9267715764587479
241,SP_Yplus,-58.86316837958148,-59.738484802399256,0.8753164228177752
242,SP_Yplus,-60.16272424003546,-61.14155006995625,0.9788258299207939
243,SP_Yplus,-59.11127777411554,-60.009806977593,0.8985292034774588
244,SP_Yplus,-61.091398125712395,-62.10793288455716,1.016534758844763
245,SP_Yplus,-59.97507729596404,-60.86624487760011,0.8911675816360685
246,SP_Yplus,-61.490397665123936,-62.340165224876074,0.8497675597521379
247,SP_Yplus,-60.601044924638025,-61.407732034916165,0.8066871102781406
248,SP_Yplus,-62.46948930799459,-63.222991330767,0.753502022772409
249,SP_Yplus,-61.37041673060688,-62.112819449128835,0.7424027185219586
250,SP_Yplus,-62.81502864066118,-63.52729599503115,0.7122673543699705
251,SP_Yplus,-62.03495884348217,-62.74428708633286,0.7093282428506882
252,SP_Yplus,-63.33069680911601,-64.02007934172403,0.6893825326080147
253,SP_Yplus,-62.57788510060377,-63.268704006050086,0.6908189054463136
254,SP_Yplus,-63.10748244894052,-63.78367514543322,0.6761926964926985
255,SP_Yplus,-63.01993798185622,-63.69635387457791,0.6764158927216855
256,SP_Xplus,-54.54717824224107,-55.389037606847126,0.8418593646060586
257,SP_Xplus,-56.81925491503117,-57.660203617112245,0.8409487020810715
258,SP_Xplus,-51.4741617337819,-52.33224008245281,0.8580783486709151
259,SP_Xplus,-55.65209277722815,-56.50338524006514,0.8512924628369944
260,SP_Xplus,-44.26367649454568,-45.01532807024307,0.7516515756973945
261,SP_Xplus,-55.11807423905634,-55.96968848815504,0.8516142490987022
262,SP_Xplus,-50.78064517231786,-51.49991228070033,0.7192671083824678
263,SP_Xplus,-57.154169335087566,-57.95016505911309,0.7959957240255235
264,SP_Xplus,-54.27208804616097,-54.93415474118564,0.6620666950246701
265,SP_Xplus,-57.572646415778166,-58.27459325019433,0.7019468344161623
266,SP_Xplus,-56.249778806750705,-56.94742435789908,0.6976455511483763
267,SP_Xplus,-58.58147350038539,-59.28936378132377,0.7078902809383791
268,SP_Xplus,-57.5007101115402,-58.21757209084063,0.7168619793004325
269,SP_Xplus,-59.60609948599347,-60.3137691775695,0.7076696915760294
270,SP_Xplus,-58.12323143728204,-58.86090769094369,0.7376762536616539
271,SP_Xplus,-60.45195010464678,-61.15528404080493,0.7033339361581525
272,SP_Xplus,-60.81912112067977,-61.516079926244174,0.6969588055644067
273,SP_Xplus,-61.67117242033322,-62.35727768569049,0.6861052653572699
274,SP_Yminus,-53.33232607262488,-54.25854397136695,0.9262178987420668
275,SP_Yminus,-49.755155201330176,-50.71224030543533,0.957085104105154
276,SP_Yminus,-55.910287848962156,-56.83900893450314,0.9287210855409853
277,SP_Yminus,-52.085308383625545,-52.98746397961867,0.902155595993122
278,SP_Yminus,-56.40075142500862,-57.419555865220616,1.0188044402119942
279,SP_Yminus,-54.143905036767215,-55.1311226073972,0.987217570629987
280,SP_Yminus,-56.00573004164607,-57.12946439898309,1.123734357337021
281,SP_Yminus,-55.09100734735881,-56.1291243669323,1.038117019573491
282,SP_Yminus,-56.501614779802765,-57.475513376479086,0.973898596676321
283,SP_Yminus,-55.791672788863536,-56.75869108434094,0.967018295477402
284,SP_Yminus,-57.00723883698416,-57.877048679021584,0.8698098420374265
285,SP_Yminus,-56.41671062036235,-57.28916476514269,0.8724541447803347
286,SP_Yminus,-58.27513108971218,-59.059412009343305,0.7842809196311222
287,SP_Yminus,-57.07601643019561,-57.877194741048555,0.8011783108529471
288,SP_Yminus,-59.90313735835574,-60.63552226383658,0.7323849054808349
289,SP_Yminus,-57.38855619456209,-58.1483458267098,0.759789632147708
