,0,T_ref,T_res,T_res2
232,Box:inner,113.41639038651621,-36.86779998841888,-122.51176818457873
233,Box:outer,114.1018053913174,-35.559123326356854,-122.33925451796091
234,Box:inner,114.1021998408388,-35.55858231028358,-122.33915490244823
235,Box:outer,114.94403459760241,-33.98890207981631,-122.08311575408473
236,Box:inner,114.94447652477069,-33.98842478858606,-122.0830288730742
237,Box:outer,112.7863263876019,-37.45569289487949,-122.6067015991749
238,Box:inner,112.7867718614406,-37.45511979380481,-122.60659353746627
239,Box:outer,113.2821180195569,-36.234798697579805,-122.49130692132232
240,Box:inner,113.2826026239293,-36.23424406625625,-122.49120303773643
241,Box:outer,114.03150944228621,-34.70057505289873,-122.33745368987371
242,Box:inner,114.03201015381408,-34.70007070540507,-122.33735966963897
243,Box:outer,115.1107391073768,-33.08965615743429,-122.1610356984618
244,Box:inner,115.11123595800129,-33.08922392213725,-122.16095477594695
245,Box:outer,112.81377628561769,-36.980066533406244,-122.56064442612376
246,Box:inner,112.81422362153108,-36.97949054994194,-122.56053557901163
247,Box:outer,113.30055641812241,-35.52710537693747,-122.45524075850886
248,Box:inner,113.3010424028738,-35.52654747696528,-122.45513630941403
249,Box:outer,114.0399458611037,-33.53431884937217,-122.31017588808172
250,Box:inner,114.0404467187028,-33.5338047260843,-122.31008068076781
251,Box:outer,115.1034928895194,-31.137132689882094,-122.13972388640855
252,Box:inner,115.1039897166041,-31.136693406704097,-122.13964277051116
253,Box:outer,112.9955086123338,-36.59049870549916,-122.4784922751077
254,Box:inner,112.995851496307,-36.589908710854075,-122.47838086686903
255,Box:outer,113.4733286649757,-35.006286963607664,-122.40602889868964
256,Box:inner,113.47368850258499,-35.00570571706018,-122.40592027821603
257,Box:outer,114.13365054599258,-32.43434462110784,-122.26131255841204
258,Box:inner,114.1340510334092,-32.43378536666583,-122.26121103837446
259,Box:outer,114.92530665733558,-28.31225479895437,-122.02315708326162
260,Box:inner,114.92575494567829,-28.31172785029551,-122.02306964343308
261,Box:outer,113.0289785649053,-38.20870242830196,-122.625827587728
262,Box:inner,113.0289137477009,-38.207941978944774,-122.6255848562273
263,Box:outer,113.06113772809981,-38.74005711489252,-122.69850986283188
264,Box:inner,113.0612331296318,-38.73940713701137,-122.69839173838238
265,Box:outer,113.3520007730567,-39.39080800855041,-122.75121562429663
266,Box:inner,113.35209804565528,-39.390164610184115,-122.75109756472332
267,Box:outer,113.60688403061759,-39.48907581185122,-122.71770285574357
268,Box:inner,113.6068088828037,-39.48821958000195,-122.71732658247214
269,Box:outer,113.6595018909417,-37.39919316859789,-122.53892756221347
270,Box:inner,113.65959992268792,-37.39852746345963,-122.53881487144699
271,Box:outer,113.9443527359399,-37.806775064549186,-122.58168156248922
272,Box:inner,113.9444519958654,-37.80611215338607,-122.58156621446648
273,Box:outer,114.374546201986,-38.75419669064604,-122.68724116940612
274,Box:inner,114.37464746305929,-38.75354355458336,-122.68712601530308
275,Box:outer,114.4220932665748,-39.06816042588122,-122.71456928459165
276,Box:inner,114.4221945540955,-39.067512782564194,-122.71445895995507
277,Box:outer,114.3446493257626,-36.26608237177223,-122.37921507622286
278,Box:inner,114.34475039786491,-36.265404415761196,-122.37910232799041
279,Box:outer,114.5381467061224,-37.074573394268185,-122.48339044617828
280,Box:inner,114.5382485761001,-37.073902584469124,-122.48327304602603
281,Box:outer,115.02484101413471,-38.15608094689813,-122.62306017375815
282,Box:inner,115.02494507525249,-38.15542135371382,-122.622941105031
283,Box:outer,115.3076748880591,-38.38483805002889,-122.65081799242387
284,Box:inner,115.30777884146342,-38.38418316873816,-122.65070697594089
285,Box:outer,115.1691446181158,-34.57499591009085,-122.09898586106118
286,Box:inner,115.169047019556,-34.574238477012415,-122.09878783919038
287,Box:outer,115.91253015061571,-35.19722448105361,-122.22685763056259
288,Box:inner,115.9126363461396,-35.19653607395563,-122.22674089165326
289,Box:outer,116.55994161943069,-36.71457280460393,-122.46012917934218
290,Box:inner,116.56005045369791,-36.7139007195554,-122.46001416855293
291,Box:outer,116.4038912610515,-37.40302697837106,-122.52991852070826
292,Box:inner,116.4037682346715,-37.402243326884246,-122.52965531438727
293,reel_box_outer,98.01443233614503,37.89504851659149,-11.766764092131382
294,reel_box_inner,96.84818436187142,37.438417474948096,-12.259493201251303
295,reel_box_outer,96.04406357443695,37.88330878026454,-14.600866900585572
296,reel_box_inner,95.17288830082902,37.53712791700292,-14.792493215154195
297,reel_box_outer,83.15987994429577,25.468328753408798,-23.48572537324796
298,reel_box_inner,84.69838106495935,26.518427796022934,-22.988709877440783
299,reel_box_outer,99.38288293306006,38.61840254174575,-14.292328458421991
300,reel_box_inner,99.00915172935845,38.46664309668415,-14.368389681713268
301,reel_box_outer,100.661636076553,41.678165157252465,-11.709600058800106
302,reel_box_inner,100.15493997721892,41.49091973118584,-11.829825230840697
303,reel_box_outer,103.3092023571682,48.36754409289574,-10.648313268502818
304,reel_box_inner,101.75593298726021,46.95734797813532,-11.037408386350535
305,reel_outer,101.5444185807395,46.30184977664044,-11.213671771479085
306,thruster_outer,105.6025914240596,51.51304375567264,-10.149412088230577
307,thruster_outer,105.602326627157,51.507222869619795,-10.151738514736337
308,thruster_outer,105.60231744162321,51.507302545488415,-10.151716313299119
309,thruster_outer,105.6023538887106,51.50740772129416,-10.151697346438311
310,thruster_outer,105.60234853545151,51.50729659555731,-10.15171072121484
311,thruster_outer,105.6021321431703,51.50185625845825,-10.153896914160043
312,thruster_outer,105.55323016637729,52.220722125655925,-10.129183611275835
313,thruster_outer,105.5529916664777,52.214903698859644,-10.13147752111854
314,thruster_outer,105.552965588313,52.21477291981512,-10.131501521577206
315,thruster_outer,105.5529201472015,52.214635388542604,-10.131531638905017
316,thruster_outer,105.55296967135159,52.21477740633475,-10.131492659892217
317,thruster_outer,105.55276255068279,52.20927351058327,-10.133682747440787
