------------------------------
Group: RemoteUnit 'Full Model'
------------------------------
'<output>'                     wrt '<variable>'                   | calc mag.  | check mag. | a(cal-chk) | r(cal-chk)
'prop_upr.KS'                  wrt 'params.Spacer1_3'             | 3.1888e-01 | 3.1596e-01 | 2.9277e-03 | 9.2662e-03
'prop_upr.KS'                  wrt 'params.Spacer1_4'             | 4.3771e-01 | 4.3620e-01 | 1.5100e-03 | 3.4618e-03
'prop_upr.KS'                  wrt 'params.Spacer2_1'             | 2.9406e-03 | 3.2237e-03 | 3.9757e-04 | 1.2333e-01
'prop_upr.KS'                  wrt 'params.Spacer2_2'             | 2.7792e-03 | 6.1980e-03 | 3.9890e-03 | 6.4360e-01
'prop_upr.KS'                  wrt 'params.Spacer2_3'             | 2.6543e-03 | 7.5285e-03 | 5.5067e-03 | 7.3145e-01
'prop_upr.KS'                  wrt 'params.Spacer2_4'             | 2.8332e-03 | 5.6162e-03 | 3.3153e-03 | 5.9031e-01
'prop_upr.KS'                  wrt 'params.Spacer3_1'             | 2.4515e-03 | 4.0840e-03 | 1.8073e-03 | 4.4252e-01
'prop_upr.KS'                  wrt 'params.Spacer3_2'             | 2.3199e-03 | 4.1509e-03 | 2.0187e-03 | 4.8634e-01
'prop_upr.KS'                  wrt 'params.Spacer3_3'             | 1.9636e-03 | 4.0413e-03 | 2.2692e-03 | 5.6150e-01
'prop_upr.KS'                  wrt 'params.Spacer3_4'             | 2.1381e-03 | 3.7148e-03 | 1.7509e-03 | 4.7131e-01
'prop_upr.KS'                  wrt 'params.Spacer4_1'             | 1.3807e-02 | 1.0329e-02 | 3.4790e-03 | 3.3683e-01
'prop_upr.KS'                  wrt 'params.Spacer4_2'             | 1.3770e-02 | 1.2161e-02 | 1.6087e-03 | 1.3228e-01
'prop_upr.KS'                  wrt 'params.Spacer4_3'             | 1.3026e-02 | 1.1350e-02 | 1.6767e-03 | 1.4773e-01
'prop_upr.KS'                  wrt 'params.Spacer4_4'             | 1.2680e-02 | 1.2723e-02 | 5.4122e-05 | 4.2540e-03
'prop_upr.KS'                  wrt 'params.Spacer5_1'             | 1.7958e-01 | 1.7734e-01 | 2.2458e-03 | 1.2664e-02
'prop_upr.KS'                  wrt 'params.Spacer5_2'             | 1.2704e-01 | 1.2706e-01 | 2.3595e-05 | 1.8570e-04
'prop_upr.KS'                  wrt 'params.Spacer5_3'             | 1.2729e-01 | 1.2846e-01 | 1.1683e-03 | 9.0948e-03
'prop_upr.KS'                  wrt 'params.Spacer5_4'             | 1.8367e-01 | 1.8126e-01 | 2.4134e-03 | 1.3315e-02
'prop_upr.KS'                  wrt 'params.alp_r'                 | 7.9305e+01 | 7.9299e+01 | 2.3497e-02 | 2.9630e-04
'prop_upr.KS'                  wrt 'params.phi'                   | 2.4016e+00 | 2.3300e+00 | 7.1592e-02 | 3.0726e-02
