****************************************************************************
MODEL NAME = RU_v5_1
report produced by REPORT_RADIATIVE_MODEL procedure at 13:33 Sat 30 May 2020
****************************************************************************
-------------------------------------------------------------------------------------------------------------------
Model Name = RU_v5_1                                                                                                
-------------------------------------------------------------------------------------------------------------------
FACE | SUBMODEL | NODE | CRIT | PRIMITIVE NAME | FACE LABEL              | TYPE |  INFRA-RED/SOLAR    | FACE AREA  
     |          |      |      |                |                         |      | EPSI RHOD RHOS TAU  |            
     |          |      |      |                |                         |      | ALPH RHOD RHOS TAU  |            
-------------------------------------------------------------------------------------------------------------------
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
96   |          | 80   | N    | AdditionalPCB  |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
97   |          | 81   | N    | AdditionalPCB  |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
98   |          | 81   | N    | AdditionalPCB  |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
99   |          | 82   | N    | AdditionalPCB  |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
100  |          | 82   | N    | AdditionalPCB  |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
101  |          | 83   | N    | TetherPCB      |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
102  |          | 83   | N    | TetherPCB      |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
103  |          | 84   | N    | TetherPCB      |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
104  |          | 84   | N    | TetherPCB      |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
105  |          | 85   | N    | TetherPCB      |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
106  |          | 85   | N    | TetherPCB      |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
107  |          | 86   | N    | TetherPCB      |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
108  |          | 86   | N    | TetherPCB      |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
109  |          | 87   | N    | TetherPCB      |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
110  |          | 87   | N    | TetherPCB      |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
