****************************************************************************
MODEL NAME = RU_v4_detail
report produced by REPORT_RADIATIVE_MODEL procedure at 15:37 Fri 29 May 2020
****************************************************************************
-------------------------------------------------------------------------------------------------------------------
Model Name = RU_v4_detail                                                                                           
-------------------------------------------------------------------------------------------------------------------
FACE | SUBMODEL | NODE | CRIT | PRIMITIVE NAME | FACE LABEL              | TYPE |  INFRA-RED/SOLAR    | FACE AREA  
     |          |      |      |                |                         |      | EPSI RHOD RHOS TAU  |            
     |          |      |      |                |                         |      | ALPH RHOD RHOS TAU  |            
-------------------------------------------------------------------------------------------------------------------
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
70   |          | 53   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.6266E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
71   |          | 54   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.6478E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
72   |          | 54   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.6478E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
73   |          | 55   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.6478E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
74   |          | 55   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.6478E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
75   |          | 56   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.6478E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
76   |          | 56   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.6478E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
77   |          | 57   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.6478E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
78   |          | 57   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.6478E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
79   |          | 58   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.6266E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
80   |          | 58   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.6266E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
81   |          | 59   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.6266E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
82   |          | 59   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.6266E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
83   |          | 60   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.6266E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
84   |          | 60   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.6266E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
85   |          | 61   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.6266E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
86   |          | 61   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.6266E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
87   |          | 62   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.6478E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
88   |          | 62   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.6478E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
89   |          | 63   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.6478E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
90   |          | 63   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.6478E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
91   |          | 64   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.6478E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
92   |          | 64   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.6478E-003
